Date,Open,Open_,High,High_,Low,Low_,Close,CC,CO,Volume
20160329,158.5,0.003164557,159.5,0.003144654,158,0.006369427,159,0,0.5,7098
20160330,158.5,0,162,0.015673981,158.5,0.003164557,161.5,2.5,3,14484
20160331,162,0.022082019,163,0.00617284,159,0.003154574,162,0.5,0,14511
20160401,161,-0.00617284,161,-0.012269939,157.5,-0.009433962,158.5,-3.5,-2.5,10001
20160406,155.5,-0.034161491,156,-0.031055901,153.5,-0.025396825,153.5,-5,-2,19206
20160407,155,-0.003215434,155,-0.006410256,152.5,-0.006514658,154.5,1,-0.5,10086
20160408,154,-0.006451613,158,0.019354839,154,0.009836066,157.5,3,3.5,12800
20160411,156,0.012987013,159,0.006329114,155.5,0.00974026,158.5,1,2.5,6917
20160412,157.5,0.009615385,159.5,0.003144654,157.5,0.012861736,158.5,0,1,4707
20160413,160,0.015873016,162,0.015673981,159.5,0.012698413,161.5,3,1.5,12488
20160414,162,0.0125,162.5,0.00308642,160,0.003134796,161.5,0,-0.5,10380
20160415,157,-0.030864198,160,-0.015384615,156,-0.025,159.5,-2,2.5,17202
20160418,158,0.006369427,158.5,-0.009375,157.5,0.009615385,158,-1.5,0,7888
20160419,160,0.012658228,161,0.015772871,157,-0.003174603,157.5,-0.5,-2.5,9884
20160420,157.5,-0.015625,158,-0.01863354,154,-0.01910828,154,-3.5,-3.5,16130
20160421,156,-0.00952381,157,-0.006329114,154,0,157,3,1,11654
20160422,155.5,-0.003205128,158,0.006369427,155,0.006493506,156.5,-0.5,1,6485
20160425,156.5,0.006430868,157.5,-0.003164557,156,0.006451613,157.5,1,1,5007
20160426,156.5,0,158.5,0.006349206,156.5,0.003205128,158,0.5,1.5,5208
20160427,156,-0.003194888,157.5,-0.006309148,155.5,-0.006389776,156.5,-1.5,0.5,6783
20160428,157.5,0.009615385,158,0.003174603,153,-0.01607717,153,-3.5,-4.5,15032
20160429,151,-0.041269841,151,-0.044303797,149,-0.026143791,150,-3,-1,18838
20160503,148,-0.01986755,148.5,-0.016556291,146.5,-0.016778523,147.5,-2.5,-0.5,21279
20160504,147,-0.006756757,149,0.003367003,146.5,0,147,-0.5,0,13521
